team_name,long_name
Manchester City,Josep Guardiola i Sala
Paris Saint Germain,Christophe Galtier
Paris Saint Germain,Christophe Galtier
Real Madrid,Carlo Ancelotti
Real Madrid CF,Carlo Ancelotti
Germany,Hans-Dieter Flick
Chelsea,Graham Potter
Liverpool,Jürgen Klopp
FC Bayern München,Julian Nagelsmann
FC Barcelona,Xavier Hernández Creus
England,Gareth Southgate
Inter,Simone Inzaghi
France,Didier Deschamps
Italy,Roberto Mancini
Portugal,Fernando Manuel Fernandes da Costa Santos
Spain,Luis Enrique Martínez García
Argentina,Lionel Sebastián Scaloni
Manchester United,Erik ten Hag
Juventus,Massimiliano Allegri
Atlético Madrid,Diego Pablo Simeone
Atlético de Madrid,Diego Pablo Simeone
Belgium,Roberto Martínez Montoliú
Netherlands,Louis van Gaal
Tottenham Hotspur,Antonio Conte
Borussia Dortmund,Edin Terzic
Milan,Stefano Pioli
AC Milan,Stefano Pioli
Sevilla,Jorge Luis Sampaoli Moya
Sevilla FC,Jorge Luis Sampaoli Moya
RB Leipzig,Marco Rose
Arsenal,Mikel Arteta Amatriain
Bayer 04 Leverkusen,Xabier Alonso Olano
Napoli,Luciano Spalletti
Roma,José Mario Felix dos Santos Mourinho
Villarreal,Enrique Setién Solar
Croatia,Zlatko Dalić
Brazil,Adenor Leonardo Bacchi
Aston Villa,Unai Emery Etxegoien
Villarreal,Unai Emery Etxegoien
Villarreal CF,Unai Emery Etxegoien
Newcastle United,Eddie Howe
West Ham United,David Moyes
Atalanta,Gian Piero Gasperini
Lazio,Maurizio Sarri
Leicester City,Brendan Rodgers
Benfica,Roger Schmidt
SL Benfica,Roger Schmidt
Athletic Club,Ernesto Valverde Tejedor
Athletic Club de Bilbao,Ernesto Valverde Tejedor
Real Betis,Manuel Luis Pellegrini Ripamonti
Real Betis Balompié,Manuel Luis Pellegrini Ripamonti
Denmark,Kasper Hjulmand
Borussia Mönchengladbach,Daniel Farke
Olympique Lyonnais,Laurent Blanc
Wolverhampton Wanderers,Julen Lopetegui Argote
Olympique Marseille,Igor Tudor
Olympique de Marseille,Igor Tudor
Porto,Sérgio Paulo Marceneiro Conceição
FC Porto,Sérgio Paulo Marceneiro Conceição
Sporting CP,Ruben Filipe Marques Amorim
Ajax,Alfred Schreuder
Real Sociedad,Imanol Alguacil Barrenetxea
Poland,Czesław Michniewicz
Eintracht Frankfurt,Oliver Glasner
Everton,Frank Lampard
Monaco,Philippe Clement
AS Monaco,Philippe Clement
Nice,Lucien Favre
OGC Nice,Lucien Favre
Rennes,Bruno Génésio
Stade Rennais FC,Bruno Génésio
Celta de Vigo,Jefferson Carlos Carvalhal da Silva
Austria,Ralf Rangnick
Czech Republic,Jaroslav Šilhavý
Mexico,Gerardo Daniel Martino
Getafe,Enrique Sánchez Flores
Getafe CF,Enrique Sánchez Flores
Fiorentina,Vincenzo Italiano
Morocco,Walid Regragui
Leeds United,Jesse Marsch
Nottingham Forest,Steve Cooper
SC Freiburg,Christian Streich
Sport-Club Freiburg,Christian Streich
Fulham,Marco Alexandre Saraiva da Silva
VfL Wolfsburg,Niko Kovač
PSV,Ruud van Nistelrooy
Galatasaray,Okan Buruk
Galatasaray SK,Okan Buruk
Fenerbahçe,Jorge Fernando Pinheiro de Jesus
Fenerbahçe SK,Jorge Fernando Pinheiro de Jesus
Palmeiras,Abel Fernando Moreira Ferreira
Trabzonspor,Abdullah Mucip Avcı
Espanyol,Diego Martínez Penas
RCD Espanyol de Barcelona,Diego Martínez Penas
Valencia,Ivan Gennaro Gattuso
Valencia CF,Ivan Gennaro Gattuso
Osasuna,Jagoba Arrasate Elustondo
CA Osasuna,Jagoba Arrasate Elustondo
Rayo Vallecano,Andoni Iraola Sagarna
Flamengo,Dorival Silvestre Júnior
Norway,Ståle Solbakken
Scotland,Steve Clarke
Sweden,Jan Olof Andersson
Crystal Palace,Patrick Vieira
Brighton & Hove Albion,Roberto De Zerbi
River Plate,Marcelo Daniel Gallardo
Sporting Braga,Artur Jorge Torres Gomes Araújo Amorim
SC Braga,Artur Jorge Torres Gomes Araújo Amorim
TSG Hoffenheim,André Breitenreiter
Southampton,Nathan Jones
Luton Town,Nathan Jones
Udinese,Andrea Sottil
Udinese Calcio,Andrea Sottil
Lille,Paulo Alexandre Rodrigues Fonseca
LOSC Lille,Paulo Alexandre Rodrigues Fonseca
Montpellier,Romain Pitau
Strasbourg,Julien Stéphan
RC Strasbourg Alsace,Julien Stéphan
FSV Mainz 05,Bo Svensson
1. FSV Mainz 05,Bo Svensson
Bologna,Thiago Motta
Club Brugge,Carl Hoefkens
Club Brugge KV,Carl Hoefkens
Feyenoord,Arne Slot
Mallorca,Javier Aguirre Onaindía
RCD Mallorca,Javier Aguirre Onaindía
Real Valladolid,Juan José Rojo Martín
Real Valladolid CF,Juan José Rojo Martín
Atlético Mineiro,Alexi Stival
Clube Atlético Mineiro,Alexi Stival
Ukraine,Oleksandr Petrakov
United States,Gregg Berhalter
FC Union Berlin,Urs Fischer
1. FC Union Berlin,Urs Fischer
Boca Juniors,Hugo Benjamin Ibarra
Brentford,Thomas Frank
Girona,Miguel Ángel Sánchez Muñoz
Girona FC,Miguel Ángel Sánchez Muñoz
Ghana,Otto Addo
Monza,Raffaele Palladino
Sassuolo,Alessio Dionisi
U.S. Sassuolo Calcio,Alessio Dionisi
FC Köln,Steffen Baumgart
1. FC Köln,Steffen Baumgart
VfB Stuttgart,Michael Wimmer
Torino,Ivan Juric
Torino F.C.,Ivan Juric
Lens,Franck Haise
Racing Club de Lens,Franck Haise
Nantes,Antoine Kombouare
FC Nantes,Antoine Kombouare
Celtic,Angelos Postecoglou
Hertha BSC,Sandro Schwarz
Hellas Verona,Marco Zaffaroni
Slavia Praha,Jindřich Trpišovský
SK Slavia Praha,Jindřich Trpišovský
AEK Athens,Matías Jesús Almeyda
Beşiktaş,Valérien Ismaël
Beşiktaş JK,Valérien Ismaël
Elche,Jorge Francisco Almirón Quintana
Elche CF,Jorge Francisco Almirón Quintana
Athletico PR,Luiz Elena Felipe Scolari
Club Athletico Paranaense,Luiz Elena Felipe Scolari
Internacional,Luiz Antônio Venker de Menezes
Almería,Joan Francesc Ferrer Sicilia
Unión Deportiva Almería,Joan Francesc Ferrer Sicilia
Hungary,Marco Rossi
AZ,Pascal Jansen
AZ Alkmaar,Pascal Jansen
AFC Bournemouth,Gary O'Neil
Cádiz,Sergio González Soriano
Cádiz CF,Sergio González Soriano
FC Augsburg,Enrico Maaßen
Racing Club,Fernando Rubén Gago
Salernitana,Davide Nicola
US Salernitana 1919,Davide Nicola
Bragantino,Maurício Nogueira Barbieri
Schalke 04,Thomas Reis
Werder Bremen,Ole Werner
SV Werder Bremen,Ole Werner
Rangers,Michael Beale
Queens Park Rangers,Michael Beale
VfL Bochum 1848,Thomas Letsch
Antwerp,Mark van Bommel
Royal Antwerp FC,Mark van Bommel
Sparta Praha,Brian Priske Pedersen
AC Sparta Praha,Brian Priske Pedersen
Brest,Bruno Grougi
São Paulo,Rogério Mücke Ceni
Al Hilal,Ramón Ángel Díaz
Genk,Wouter Vrancken
KRC Genk,Wouter Vrancken
Gent,Hein Vanhaezebrouck
KAA Gent,Hein Vanhaezebrouck
Corinthians,Vítor Manuel de Oliveira Lopes Pereira
Santos,Odair Hellmann
Wales,Robert Page
Empoli,Paolo Zanetti
Watford,Slaven Bilić
Burnley,Vincent Kompany
Sampdoria,Dejan Stankovic
U.C. Sampdoria,Dejan Stankovic
Levante,Javier Calleja Revilla
Panathinaikos,Ivan Jovanović
Panathinaikos FC,Ivan Jovanović
İstanbul Başakşehir,Emre Belözoğlu
İstanbul Başakşehir FK,Emre Belözoğlu
Dynamo Kyiv,Mircea Lucescu
Viktoria Plzeň,Michal Bílek
FC Viktoria Plzeň,Michal Bílek
Canada,John Herdman
Al Nassr,Rudi Garcia
Los Angeles FC,Steven Cherundolo
Salzburg,Matthias Jaissle
FC Red Bull Salzburg,Matthias Jaissle
Dinamo Zagreb,Ante Čačić
Anderlecht,Robin Veldeman
Troyes,Patrick Kisnorbo
Melbourne City,Patrick Kisnorbo
Melbourne City FC,Patrick Kisnorbo
Lecce,Marco Baroni
Reims,William Still
PAOK,Răzvan Lucescu
Las Palmas,Francisco Javier García Pimienta
Unión Deportiva Las Palmas,Francisco Javier García Pimienta
Fluminense,Fernando Diniz Silva
København,Jacob Neestrup Hansen
F.C. København,Jacob Neestrup Hansen
Republic of Ireland,Stephen Kenny
Romania,Edward Iordănescu
Australia,Graham Arnold
Angers SCO,Abdelaziz Bouhazama
Norwich City,Dean Smith
Sheffield United,Paul Heckingbottom
Toulouse,Philippe Montanier
Toulouse Football Club,Philippe Montanier
Vélez Sarsfield,Alexander Jesús Medina Reobasco
Genoa,Alexander Blessin
Spezia,Luca Gotti
Granada,Francisco José López Fernández
Ceará,Gustavo Eliseo Morínigo Vázquez
Cremonese,Massimiliano Alvini
US Cremonese,Massimiliano Alvini
Atlético GO,Eduardo Godinho Felipe de Souza
Atlético Clube Goianiense,Eduardo Godinho Felipe de Souza
Middlesbrough,Michael Carrick
Auxerre,Christophe Pélissier
West Bromwich Albion,Carlos Corberán Vallet
Venezia,Paolo Vanoli
Lorient,Régis Le Bris
FC Lorient,Régis Le Bris
Deportivo Alavés,Luis García Plaza
SD Eibar,Gaizka Garitano Aguirre
Al Ittihad,Nuno Herlander Simões Espírito Santo
Antalyaspor,Nuri Şahin
Young Boys,Raphaël Wicky
BSC Young Boys,Raphaël Wicky
Midtjylland,Albert Capellas Herms
FC Midtjylland,Albert Capellas Herms
Ferencváros,Stanislav Cherchesov
Gil Vicente,Ivo Ricardo Abreu Vieira
Gil Vicente FC,Ivo Ricardo Abreu Vieira
FC Utrecht,Henk Fraser
FC Twente,Ron Jans
Union Saint-Gilloise,Karel Geraerts
Ankaragücü,Ömer Erdogan
MKE Ankaragücü,Ömer Erdogan
Adana Demirspor,Vincenzo Montella
Shakhtar Donetsk,Igor Jovičević
Estudiantes,Pablo Javier Quatrocchi
Estudiantes de La Plata,Pablo Javier Quatrocchi
Lanús,Frank Darío Kudelka
Club Atlético Lanús,Frank Darío Kudelka
Colón,Marcelo Saralegui Arregín
Club Atlético Colón,Marcelo Saralegui Arregín
Fortaleza,Juan Pablo Vojvoda
Al Shabab,Vicente Moreno Peris
Talleres Córdoba,Javier Marcelo Gandolfi
Club Atlético Talleres,Javier Marcelo Gandolfi
Alanyaspor,Francesco Farioli
Aytemiz Alanyaspor,Francesco Farioli
Blackburn Rovers,Jon Dahl Tomasson
Hamburger SV,Tim Walter
Parma,Fabio Pecchia
Hearts,Robbie Neilson
Heart of Midlothian,Robbie Neilson
Millwall,Gary Rowett
DSC Arminia Bielefeld,Daniel Scherning
Standard Liège,Ronny Deila
Standard de Liège,Ronny Deila
Real Zaragoza,Francisco Escriba Segura
Hajduk Split,Mislav Karoglan
Hannover 96,Stefan Leitl
Ajaccio,Olivier Pantaloni
AC Ajaccio,Olivier Pantaloni
New England,Bruce Arena
New England Revolution,Bruce Arena
Rio Ave,Luís Carlos Batalha Freire
Rio Ave FC,Luís Carlos Batalha Freire
Ulsan,Myung-Bo Hong
Ulsan Hyundai FC,Myung-Bo Hong
Coventry City,Mark Robins
Preston North End,Ryan Lowe
Clermont,Pascal Gastien
Clermont Foot 63,Pascal Gastien
Saint-Étienne,Laurent Batlles
AS Saint-Étienne,Laurent Batlles
Cagliari,Fabio Liverani
Vitória SC,João Miguel da Cunha Teixeira
Vitória de Guimarães,João Miguel da Cunha Teixeira
Marítimo,João Alexandre Oliveira Nunes Henriques
Clube Sport Marítimo,João Alexandre Oliveira Nunes Henriques
Boavista,Armando Gonçalves Teixeira
Boavista FC,Armando Gonçalves Teixeira
Hull City,Liam Rosenior
América de Cali,Alexandre Borges Guimarães
Atlético Nacional,Pedro Enrique Sarmiento Solís
Independiente,Julio César Falcioni
Club Atlético Independiente,Julio César Falcioni
Newell's Old Boys,Gustavo Daniel Tognarelli
Darmstadt 98,Torsten Lieberknecht
SV Darmstadt 98,Torsten Lieberknecht
Fortuna Düsseldorf,Daniel Thioune
Mamelodi Sundowns,Rhulani Mokwena
LDU Quito,Luis Francisco Zubeldía
Libertad,Daniel Oscar Garnero
Argentinos Juniors,Gabriel Alejandro Milito
Portland Timbers,Giovanni Savarese
Seattle Sounders,Brian Schmetzer
Seattle Sounders FC,Brian Schmetzer
Kasımpaşa,Şenol Can
Kasimpaşa SK,Şenol Can
Defensa y Justicia,Julio César Vaccari
Tigre,Diego Hernán Martínez
Club Atlético Tigre,Diego Hernán Martínez
América Mineiro,Vágner Carmo Mancini
América Futebol Clube,Vágner Carmo Mancini
Benevento,Fabio Cannavaro
Philadelphia Union,Jim Curtin
Famalicão,João Pedro Borges de Sousa
Futebol Clube de Famalicão,João Pedro Borges de Sousa
Atlanta United,Gonzalo Pineda Reyes
Casa Pia,Filipe Gonçalo Pinto Martins
Cuiabá,António José Cardoso de Oliveira
Bordeaux,David Guion
FC Girondins de Bordeaux,David Guion
Metz,László Bölöni
FC Metz,László Bölöni
Birmingham City,John Eustace
SpVgg Greuther Fürth,Alexander Zorniger
Nürnberg,Markus Weinzierl
1. FC Nürnberg,Markus Weinzierl
Reggina,Filippo Inzaghi
Sturm Graz,Christian Ilzer
SK Sturm Graz,Christian Ilzer
LASK Linz,Dietmar Didi Kühbauer
Tenerife,Luis Miguel Ramis Monfort
CD Tenerife,Luis Miguel Ramis Monfort
Malmö FF,Åge Fridtjof Hareide
Sporting Gijón,Abelardo Fernández Antuña
Real Sporting de Gijón,Abelardo Fernández Antuña
Fortuna Sittard,Julio Velázquez Santiago
Sporting Charleroi,Felice Mazzù
Anderlecht,Felice Mazzù
RSC Anderlecht,Felice Mazzù
Columbus Crew,Caleb Porter
DC United,Wayne Mark Rooney
D.C. United,Wayne Mark Rooney
Sporting KC,Peter Vermes
Sporting Kansas City,Peter Vermes
Lech Poznań,John van den Brom
Basel,Alexander Frei
FC Basel 1893,Alexander Frei
Bodø / Glimt,Kjetil Knutsen
FK Bodø/Glimt,Kjetil Knutsen
San Lorenzo,Rubén Darío Insúa
San Lorenzo de Almagro,Rubén Darío Insúa
Finland,Markku Kanerva
Santa Clara,Mário Fernando Magalhães da Silva
Jeonbuk Motors,Sang-Sik Kim
Jeonbuk Hyundai Motors,Sang-Sik Kim
Como,Moreno Longo
Reading,Paul Ince
Stoke City,Alex Neil
Karlsruher SC,Christian Eichner
Paços de Ferreira,José Albano Ferreira da Mota
Vitesse,Phillip Cocu
NEC,Rogier Meijer
N.E.C. Nijmegen,Rogier Meijer
SC Heerenveen,Kees van Wonderen
Bristol City,Nigel Pearson
Luton Town,Rob Edwards
Huddersfield Town,Mark Fotheringham
Swansea City,Russell Martin
Estoril,Nelson Alexandre da Silva Veríssimo
Estoril Praia,Nelson Alexandre da Silva Veríssimo
Paderborn,Lukas Kwasniok
SC Paderborn 07,Lukas Kwasniok
Portimonense,Paulo Sérgio Bento Brito
Portimonense SC,Paulo Sérgio Bento Brito
Burgos,Julián Calero Fernández
Kortrijk,Bernd Storck
AS Eupen,Bernd Storck
KAS Eupen,Bernd Storck
OH Leuven,Marc Brys
Oud-Heverlee Leuven,Marc Brys
APOEL,Vladan Milojević
FC Cartagena,Luis Miguel Carrión Delgado
Kayserispor,Çagdas Atan
Yukatel Kayserispor,Çagdas Atan
Hatayspor,Volkan Demirel
Konyaspor,İlhan Palut
İttifak Holding Konyaspor,İlhan Palut
Sivasspor,Rıza Çalımbay
Demir Grup Sivasspor,Rıza Çalımbay
Olimpia,Júlio César Cáceres López
Northern Ireland,Ian Baraclough
Sandhausen,Alois Schwartz
SV Sandhausen,Alois Schwartz
St. Pauli,Timo Schultz
FC St. Pauli,Timo Schultz
Banfield,Javier Sanguinetti
Club Atlético Banfield,Javier Sanguinetti
Mechelen,Steven Defour
Pisa,Luca D'Angelo
Gaziantep F.K.,Erol Bulut
Gazişehir Gaziantep F.K.,Erol Bulut
Real Oviedo,Álvaro Cervera Díaz
Huesca,José Ángel Ziganda Lacunza
SD Huesca,José Ángel Ziganda Lacunza
Orlando Pirates,Jose Riveiro
Colo-Colo,Gustavo Enrique Domingo Quinteros Desábato
Minnesota United,Adrian Heath
Minnesota United FC,Adrian Heath
Heidenheim,Frank Schmidt
1. FC Heidenheim 1846,Frank Schmidt
Qatar,Felix Sanchez Bas
Vizela,Álvaro Adriano Teixeira Pacheco
Toronto,Bob Bradley
Toronto FC,Bob Bradley
Al Ain,Sergiy Rebrov
Al Ain FC,Sergiy Rebrov
Godoy Cruz,Diego Flores
Huracán,Diego Omar Dabove
Club Atlético Huracán,Diego Omar Dabove
Unión Santa Fe,Gustavo Adolfo Munúa Vera
Unión de Santa Fe,Gustavo Adolfo Munúa Vera
Shandong Luneng,Wei Hao
Shandong Taishan,Wei Hao
Paris,Thierry Laurey
Paris FC,Thierry Laurey
Cerro Porteño,Francisco Javier Arce Rolón
Austin,Josh Wolff
Nashville SC,Gary Smith
Hansa Rostock,Patrick Glöckner
Waldhof Mannheim,Patrick Glöckner
SV Waldhof Mannheim 07,Patrick Glöckner
Kaiserslautern,Dirk Schuster
1. FC Kaiserslautern,Dirk Schuster
Sunderland,Tony Mowbray
Brescia,Josep Clotet Ruiz
Caen,Stéphane Moulin
Stade Malherbe Caen,Stéphane Moulin
Sochaux,Olivier Guégan
FC Sochaux-Montbéliard,Olivier Guégan
Rapid Vienna,Zoran Barišić
Brøndby,Niels Frederiksen
Brøndby IF,Niels Frederiksen
Universitatea Craiova,Mirel Matei Radoi
Servette,Alain Geiger
Servette FC,Alain Geiger
Molde,Erling Moe
Molde FK,Erling Moe
Chaves,Vítor Fernando de Carvalho Campelos
GD Chaves,Vítor Fernando de Carvalho Campelos
Jahn Regensburg,Mersad Selimbegovic
SSV Jahn Regensburg,Mersad Selimbegovic
Ternana,Aurelio Andreazzoli
Málaga,José Mel Pérez
Málaga CF,José Mel Pérez
Holstein Kiel,Marcel Rapp
Sint-Truiden,Bernd Hollerbach
Sint-Truidense VV,Bernd Hollerbach
Westerlo,Jonas De Roeck
KVC Westerlo,Jonas De Roeck
KV Oostende,Dominik Thalhammer
Cercle Brugge,Dominik Thalhammer
KSV Cercle Brugge,Dominik Thalhammer
New York RB,Gerhard Struber
New York Red Bulls,Gerhard Struber
Dallas,Nicolás Estévez Martínez
FC Dallas,Nicolás Estévez Martínez
LA Galaxy,Greg Vanney
Djurgården,Thomas Lagerlöf
Djurgårdens IF,Thomas Lagerlöf
AaB,Erik Hamrén
Aalborg BK,Erik Hamrén
Zürich,Bo Henriksen
FC Zürich,Bo Henriksen
Iceland,Arnar Viðarsson
Modena,Attilio Tesser
Cercle Brugge,Miron Muslić
Palermo,Eugenio Corini
Bari 1908,Michele Mignani
Bari,Michele Mignani
Legia Warszawa,Kosta Runjaic
Wigan Athletic,Leam Richardson
Blackpool,Michael Appleton
Cardiff City,Mark Hudson
Ponferradina,David Gallego Rodríguez
Zulte-Waregem,M'Baye Leye
SV Zulte Waregem,M'Baye Leye
FCSB,Mihai Doru Pintilii
Leganés,Joseba Imanol Idiakez Barkaiztegui
CD Leganés,Joseba Imanol Idiakez Barkaiztegui
Gimnasia La Plata,Néstor Raúl Gorosito
Gimnasia y Esgrima La Plata,Néstor Raúl Gorosito
Junior,Julio Avelino Comesaña López
Independiente Medellín,David González Giraldo
Vancouver Whitecaps,Vanni Sartini
Vancouver Whitecaps FC,Vanni Sartini
Eintracht Braunschweig,Michael Schiele
Dijon,Omar Daf
Dijon FCO,Omar Daf
Rosario Central,Carlos Alberto Tevez
Sion,Fabio Celestini
CFR Cluj,Dan Vasile Petrescu
Kaizer Chiefs,Arthur Zwane
Universidad Católica,Ariel Enrique Holan
